City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
26,zhigansk,66.7697,123.3711,-45.61599999999996,98,97,1.52,RU,1675609366
27,khatanga,71.9667,102.5,-24.789999999999964,92,100,2.45,RU,1675609366
28,hamilton,39.1834,-84.5333,45.98600000000007,58,0,6.69,US,1675609104
29,saint-philippe,-21.3585,55.7679,81.98600000000008,85,80,4.69,RE,1675609367
30,novyy urgal,51.0736,132.5642,-22.719999999999956,100,85,0.72,RU,1675609367
31,parfenyevo,58.484,43.4088,22.298000000000023,97,100,1.38,RU,1675609369
32,kirando,-7.4167,30.6,77.70200000000008,69,83,1.5,TZ,1675609369
33,phonhong,18.5007,102.4166,73.43600000000006,81,78,1.39,LA,1675609370
34,thompson,55.7435,-97.8558,-9.237999999999943,84,100,1.03,CA,1675609370
35,bluff,-46.6,168.3333,60.944000000000074,70,99,8.55,NZ,1675609370
36,cherskiy,68.75,161.3,-41.76399999999998,100,100,2.11,RU,1675609371
37,busselton,-33.65,115.3333,65.73200000000001,88,3,7.4,AU,1675609371
38,guerrero negro,27.9769,-114.0611,56.78600000000007,86,0,4.14,MX,1675609372
39,saldanha,-33.0117,17.9442,78.85400000000006,79,45,8.88,ZA,1675609372
40,port alfred,-33.5906,26.891,78.18800000000005,81,6,2.68,ZA,1675609372
41,hohhot,40.8106,111.6522,28.688000000000045,46,0,1.0,CN,1675609373
42,san pedro,14.35,121.0167,79.82600000000009,77,75,3.09,PH,1675609373
43,dikson,73.5069,80.5464,-5.691999999999943,97,100,1.28,RU,1675609374
44,sao filipe,14.8961,-24.4956,73.68800000000005,55,5,4.47,CV,1675609374
45,margate,51.3813,1.3862,47.89400000000008,72,100,4.92,GB,1675609375
46,xinmin,41.9908,122.8253,23.9,56,78,3.77,CN,1675609375
47,hobart,-42.8794,147.3294,58.85600000000003,77,92,4.63,AU,1675609239
48,bathsheba,13.2167,-59.5167,83.01200000000006,65,75,10.29,BB,1675609376
49,hay river,60.8156,-115.7999,-0.41799999999998505,78,100,4.63,CA,1675609376
50,atlantis,-33.5667,18.4834,72.17600000000009,60,35,7.93,ZA,1675609376
51,katsuura,35.1333,140.3,48.90200000000008,79,30,1.47,JP,1675609057
52,talnakh,69.4865,88.3972,7.214000000000034,96,100,1.94,RU,1675609377
53,nabire,-3.3667,135.4833,76.08200000000002,93,100,1.46,ID,1675609377
54,hermanus,-34.4187,19.2345,67.80200000000008,81,100,3.71,ZA,1675609378
55,bethel,41.3712,-73.414,37.49000000000002,54,0,6.69,US,1675609378
56,new norfolk,-42.7826,147.0587,58.49600000000005,63,92,0.89,AU,1675609378
57,puerto ayora,-0.7393,-90.3518,84.16400000000003,91,64,4.02,EC,1675609379
58,sinnamary,5.3833,-52.95,77.50400000000005,88,100,6.37,GF,1675609379
59,tasiilaq,65.6145,-37.6368,30.36200000000006,81,100,9.91,GL,1675609380
60,young,-32.6833,-57.6333,84.75800000000001,22,0,2.57,UY,1675609380
61,oktyabrskoye,43.0645,44.7417,26.744000000000074,92,100,3.0,RU,1675609381
62,nizhniy kuranakh,58.8353,125.4869,-16.185999999999964,100,100,1.08,RU,1675609381
63,jamestown,42.097,-79.2353,41.018000000000086,42,0,6.69,US,1675609203
64,arcata,40.8665,-124.0828,47.62400000000001,94,100,3.09,US,1675609382
65,torbay,47.6666,-52.7314,24.583999999999993,75,28,7.6,CA,1675609382
66,lazaro cardenas,17.9583,-102.2,76.98200000000001,51,0,1.33,MX,1675609383
67,san luis,-33.295,-66.3356,84.50600000000003,27,0,7.36,AR,1675609383
68,taltal,-25.4,-70.4833,74.15600000000003,69,0,2.15,CL,1675609384
69,pangai,-19.8,-174.35,79.68200000000002,81,100,9.84,TO,1675609384
70,carnarvon,-24.8667,113.6333,77.72000000000006,76,3,8.12,AU,1675609385
71,kaya,13.0917,-1.0844,97.55600000000003,8,67,4.34,BF,1675609386
72,hithadhoo,-0.6,73.0833,81.10400000000006,70,47,5.12,MV,1675609321
73,banda aceh,5.5577,95.3222,78.692,79,96,1.37,ID,1675609387
74,te anau,-45.4167,167.7167,56.26400000000003,92,100,4.71,NZ,1675609387
75,lenoir,35.2335,-77.6497,47.13800000000005,62,75,0.0,US,1675609388
76,ambon,-3.6954,128.1814,75.34400000000008,94,75,1.54,ID,1675609389
77,karachi,24.9056,67.0822,73.22000000000006,73,20,6.17,PK,1675609309
78,christchurch,-43.5333,172.6333,68.19800000000002,53,0,3.09,NZ,1675609198
79,praia da vitoria,38.7333,-27.0667,64.76000000000008,72,20,7.46,PT,1675609391
80,kruisfontein,-34.0033,24.7314,80.88800000000005,66,4,9.94,ZA,1675609393
81,arraial do cabo,-22.9661,-42.0278,89.56400000000004,58,0,3.6,BR,1675609395
82,omboue,-1.5746,9.2618,82.74199999999999,75,95,3.58,GA,1675609396
83,mar del plata,-38.0023,-57.5575,79.95200000000008,55,0,6.71,AR,1675609326
84,muisne,0.6,-80.0333,80.74400000000007,73,43,2.79,EC,1675609399
85,sisimiut,66.9395,-53.6735,-2.0739999999999625,94,100,4.27,GL,1675609399
